,t,open,high,low,close
15082,2024-08-07 23:45:00-04:00,1.09333,1.0935,1.09309,1.09337
15083,2024-08-08 00:00:00-04:00,1.09337,1.0934,1.09318,1.09324
15084,2024-08-08 00:15:00-04:00,1.09323,1.09328,1.09299,1.09313
15085,2024-08-08 00:30:00-04:00,1.09314,1.0933,1.09302,1.09324
15086,2024-08-08 00:45:00-04:00,1.09323,1.09354,1.09323,1.0935
15087,2024-08-08 01:00:00-04:00,1.0935,1.09376,1.09349,1.09376
15088,2024-08-08 01:15:00-04:00,1.09375,1.09377,1.09354,1.0936
15089,2024-08-08 01:30:00-04:00,1.09361,1.09371,1.0933,1.09339
15090,2024-08-08 01:45:00-04:00,1.09339,1.09343,1.09309,1.09317
15091,2024-08-08 02:00:00-04:00,1.09316,1.09328,1.09302,1.09318
15092,2024-08-08 02:15:00-04:00,1.09318,1.09331,1.09305,1.0932
15093,2024-08-08 02:30:00-04:00,1.09321,1.09324,1.09298,1.0932
15094,2024-08-08 02:45:00-04:00,1.0932,1.09358,1.093,1.09357
15095,2024-08-08 03:00:00-04:00,1.09357,1.09423,1.09348,1.09402
15096,2024-08-08 03:15:00-04:00,1.09401,1.09427,1.09339,1.09344
15097,2024-08-08 03:30:00-04:00,1.0934,1.09398,1.09336,1.09368
15098,2024-08-08 03:45:00-04:00,1.09369,1.09446,1.09365,1.09427
15099,2024-08-08 04:00:00-04:00,1.09431,1.0945,1.09374,1.09375
15100,2024-08-08 04:15:00-04:00,1.09375,1.0942,1.0936,1.09375
15101,2024-08-08 04:30:00-04:00,1.09374,1.09407,1.09349,1.09354
15102,2024-08-08 04:45:00-04:00,1.09354,1.09402,1.09339,1.09398
15103,2024-08-08 05:00:00-04:00,1.09398,1.09441,1.09383,1.09441
15104,2024-08-08 05:15:00-04:00,1.09441,1.09443,1.09375,1.0939
15105,2024-08-08 05:30:00-04:00,1.0939,1.094,1.09355,1.09391
15106,2024-08-08 05:45:00-04:00,1.0939,1.09416,1.09363,1.0937
15107,2024-08-08 06:00:00-04:00,1.0937,1.09396,1.09335,1.0935
15108,2024-08-08 06:15:00-04:00,1.09351,1.09353,1.09308,1.09335
15109,2024-08-08 06:30:00-04:00,1.09334,1.09345,1.09298,1.09302
15110,2024-08-08 06:45:00-04:00,1.09304,1.09312,1.09261,1.09269
15111,2024-08-08 07:00:00-04:00,1.09269,1.09287,1.09209,1.09227
15112,2024-08-08 07:15:00-04:00,1.09211,1.09275,1.09203,1.09274
